Rank,Coin Name,Symbol, Price ,1h,24h,7d,30d, 24h Volume ,Circulating Supply,Total Supply, Market Cap 
1142,ANGLE,ANGLE,0.04,-0.30%,-0.10%,0.00%,19.80%,"$91,672.00 ","201,477,202",1 Billion,"$7,564,401.00 "
1143,Counterparty,XCP,2.92,0.40%,-4.40%,1.00%,-9.80%,"$180,480.00 ","2,593,250",2.65 Million,"$7,557,576.00 "
1144,LockTrip,LOC,0.46,,0.10%,-5.70%,7.80%,"$1,139.00 ","16,510,837",18.6 Million,"$7,523,289.00 "
1145,Carbon Protocol,SWTH, $-   ,0.10%,-1.60%,0.60%,36.10%,"$67,248.00 ","1,720,665,160",2.16 Billion,"$7,534,121.00 "
1146,Poof Token,POOF,0.16,-0.10%,2.10%,8.30%,25.10%,"$14,986.00 ","47,945,141",100 Million,"$7,529,167.00 "
1147,Haven,XHV,0.24,-0.30%,2.20%,-0.50%,97.30%,"$15,841.00 ","31,796,704",31.8 Million,"$7,508,583.00 "
1148,Jackal Protocol,JKL,0.12,0.50%,3.40%,-12.20%,110.80%,"$77,904.00 ","65,190,411",133 Million,"$7,497,150.00 "
1149,DigitalBits,XDB, $-   ,0.20%,3.00%,16.00%,20.50%,"$899,168.00 ","19,974,370,020",20 Billion,"$7,499,030.00 "
1150,MarsDAO,MDAO,0.10,-0.10%,1.40%,-1.10%,3.30%,"$76,227.00 ","74,373,353",96 Million,"$7,466,152.00 "
1151,Nodle Network,NODL, $-   ,-0.20%,-1.40%,-5.80%,-9.80%,"$94,559.00 ","2,769,879,310",8.52 Billion,"$7,456,466.00 "
1152,Wasder,WAS,0.01,-0.90%,22.70%,56.70%,384.80%,"$340,876.00 ","597,083,456",1 Billion,"$7,455,432.00 "
1153,Aura Network,AURA,0.03,-0.20%,-4.10%,-6.10%,7.60%,"$60,542.00 ","222,617,555",413 Million,"$7,453,701.00 "
1154,Stader sFTMX,SFTMX,0.32,-0.20%,-4.50%,-9.60%,29.20%,$224.00 ,"23,068,677",21.7 Million,"$7,445,629.00 "
1155,Lunr,LUNR,0.07,9.40%,-2.30%,-17.20%,40.60%,"$94,637.00 ","110,761,700",246 Million,"$7,436,774.00 "
1156,Wagmi,WAGMI,0.01,-1.10%,5.00%,-7.50%,-19.10%,"$72,021.00 ","672,677,732",∞,"$7,436,811.00 "
1157,Nucleon xCFX,XCFX,0.16,-0.70%,-3.70%,-9.50%,34.10%,"$5,841.00 ","45,685,016",45.7 Million,"$7,379,492.00 "
1158,AtPay,ATPAY,0.24,-0.20%,-1.90%,1.00%,-2.60%,"$1,235.00 ","30,000,000",100 Million,"$7,339,526.00 "
1159,Polkadex,PDEX,0.96,0.70%,1.40%,-20.30%,110.60%,"$168,411.00 ","7,460,000",7.46 Million,"$7,278,973.00 "
1160,Qmall,QMALL,0.11,-1.60%,-0.60%,-5.60%,6.50%,"$681,594.00 ","67,071,140",100 Million,"$7,274,047.00 "
1161,Hector Network,HEC,2.99,,0.00%,125.30%,14084.80%,$30.72 ,"2,425,573",3.16 Million,"$7,240,398.00 "
1162,Cypherium,CPH,0.01,2.50%,-9.60%,1.90%,-23.30%,"$9,577.00 ","540,678,192",6.83 Billion,"$7,226,683.00 "
1163,Sphere Finance,SPHERE, $-   ,0.00%,-0.30%,-10.90%,10.20%,"$4,836.00 ","7,671,877,872",8.96 Billion,"$7,228,015.00 "
1164,DeFi Land,DFL, $-   ,1.20%,-4.80%,-3.20%,198.60%,"$53,110.00 ","7,137,303,616",10 Billion,"$7,217,249.00 "
1165,Epic Cash,EPIC,0.43,0.30%,1.50%,1.80%,-10.60%,"$3,745.00 ","16,946,144",21 Million,"$7,212,975.00 "
1166,Gari Network,GARI,0.03,-0.80%,-1.90%,9.30%,14.40%,"$1,325,592.00 ","273,397,650",997 Million,"$7,168,381.00 "
1167,Solcasino Token,SCS, $-   ,0.10%,-1.20%,26.70%,75.90%,"$108,566.00 ","1,516,579,095",9.88 Billion,"$7,158,552.00 "
1168,HEdpAY,HDP.Ф,0.14,-,-,-,-, - ,"66,338,588",1 Billion,"$9,571,146.00 "
1169,Bitcoin Pro,BTCP,55.30,-0.30%,11.60%,-25.20%,-35.30%,"$10,020.00 ","129,018",2.1 Million,"$7,135,372.00 "
1170,DeFinity,DEFX,0.05,-0.40%,-4.80%,165.00%,123.40%,"$16,700.00 ","153,070,078",172 Million,"$7,102,715.00 "
1171,Law Blocks,LBT,0.09,-0.10%,0.10%,0.30%,0.50%,"$74,254.00 ","75,000,000",1 Billion,"$7,088,574.00 "
1172,GensoKishi Metaverse,MV,0.04,-0.70%,-5.70%,-9.30%,20.50%,"$643,113.00 ","189,020,210",400 Million,"$7,063,304.00 "
1173,AshSwap,ASH,0.03,0.40%,-3.40%,41.10%,132.20%,"$189,289.00 ","224,539,171",1 Billion,"$7,049,759.00 "
1174,Muse DAO,MUSE,7.42,-1.50%,-5.00%,-5.40%,27.70%,"$216,627.00 ","949,942",950 Thousand,"$7,046,315.00 "
1175,Trabzonspor Fan Token,TRA,0.94,0.00%,-1.80%,-4.70%,-6.10%,"$150,492.00 ","7,448,712",10 Million,"$7,022,021.00 "
1176,White Whale,WHALE,0.02,0.10%,-2.00%,-34.50%,45.20%,"$116,543.00 ","333,163,727",589 Million,"$7,020,341.00 "
1177,Offshift,XFT,0.78,0.10%,-2.00%,83.50%,332.40%,"$88,533.00 ","9,022,955",10.3 Million,"$7,019,125.00 "
1178,Astra DAO,ASTRADAO, $-   ,0.00%,-1.50%,24.70%,,"$62,292.00 ","84,914,405,594,431",130 Trillion,"$7,007,081.00 "
1179,Dark Frontiers,DARK,0.04,0.30%,3.30%,31.70%,106.90%,"$148,846.00 ","189,674,900",250 Million,"$7,009,676.00 "
1180,SIX Network,SIX,0.03,0.30%,-1.10%,-4.30%,-10.90%,"$3,000,834.00 ","273,776,596",1 Billion,"$6,976,971.00 "
1181,KlimaDAO,KLIMA,0.78,0.60%,-0.30%,-11.40%,13.00%,"$23,393.00 ","8,851,790",8.85 Million,"$6,941,570.00 "
1182,Taki,TAKI,0.01,0.20%,0.70%,-3.10%,-4.80%,"$75,026.00 ","1,170,868,697",3 Billion,"$6,920,953.00 "
1183,Dexpools,DXP,0.79,0.10%,-0.60%,10.50%,41.40%,$19.71 ,"8,750,000",8.75 Million,"$6,911,594.00 "
1184,Aquarius,AQUA, $-   ,0.00%,-2.80%,0.80%,1.90%,"$61,697.00 ","17,475,597,813",100 Billion,"$6,900,082.00 "
1185,KI,XKI,0.01,0.40%,4.50%,-6.80%,-2.70%,"$1,037.00 ","483,942,741",946 Million,"$6,885,879.00 "
1186,Cashtree Token,CTT,0.02,0.10%,-6.80%,-6.80%,13.80%,"$19,610.00 ","310,686,488",5 Billion,"$6,884,299.00 "
1187,LeisureMeta,LM,0.01,-2.20%,-8.70%,-19.90%,-20.60%,"$1,153,747.00 ","964,748,037",4.67 Billion,"$6,881,844.00 "
1188,Meta Apes PEEL,PEEL,0.04,0.10%,-7.70%,-5.60%,-0.70%,"$142,614.00 ","175,744,289",70 Million,"$6,879,543.00 "
1189,Spookyswap,BOO,0.68,-2.00%,-3.30%,-16.90%,73.10%,"$90,592.00 ","9,915,805",5.74 Million,"$6,759,473.00 "
1190,ELYSIA,EL, $-   ,-1.00%,-2.40%,-1.60%,12.80%,"$355,690.00 ","3,202,286,469",6.8 Billion,"$6,746,210.00 "
1191,Dream Machine Token,DMT,11.21,0.10%,7.70%,-27.70%,4.80%,"$156,806.00 ","601,463",1 Million,"$6,734,204.00 "
1192,El Hippo,HIPP, $-   ,0.40%,4.60%,43.00%,67.80%,"$1,419,237.00 ","737,581,291,822,586",777 Trillion,"$6,703,390.00 "
1193,Project WITH,WIKEN,0.01,-0.60%,-1.40%,1.50%,6.90%,"$34,909.00 ","991,118,882",1.06 Billion,"$6,690,836.00 "
1194,Rowan Coin,RWN,0.03,0.40%,1.00%,42.00%,68.80%,"$343,884.00 ","195,000,000",545 Million,"$6,653,021.00 "
1195,BzetCoin,BZET,0.07,0.90%,0.30%,8.80%,-14.20%,"$39,144.00 ","100,000,000",100 Million,"$6,621,586.00 "
1196,Hivemapper,HONEY,0.02,3.50%,14.40%,32.50%,122.00%,"$148,517.00 ","275,315,513",6.16 Billion,"$6,613,878.00 "
1197,Smart Valor,VALOR,0.13,0.70%,-1.00%,-1.80%,5.50%,"$39,922.00 ","50,615,105",75 Million,"$6,614,777.00 "
1198,Moonwell,WELL,0.01,0.30%,6.80%,6.20%,44.50%,"$707,854.00 ","1,213,656,935",5 Billion,"$6,600,975.00 "
1199,Steam Exchange,STEAMX, $-   ,-0.40%,5.80%,5.90%,7.00%,"$24,771.00 ","100,000,000,000",100 Billion,"$6,547,264.00 "
1200,Karate Combat,KARATE, $-   ,0.40%,1.00%,11.20%,59.80%,"$162,060.00 ","6,509,976,129",110 Billion,"$6,545,961.00 "
1201,ApeSwap,BANANA,0.02,-0.10%,-5.30%,-2.30%,45.10%,"$411,415.00 ","269,508,815",318 Million,"$6,545,290.00 "
1202,SafeDeal,SFD,0.38,2.60%,-1.30%,1.40%,16.70%,"$5,752.00 ","17,321,381",17.3 Million,"$6,516,968.00 "
1203,Pibble,PIB, $-   ,-0.30%,4.40%,4.00%,10.80%,"$63,652.00 ","20,921,860,893",29.7 Billion,"$6,512,329.00 "
1204,Maxity,MAX,0.05,-0.10%,-1.00%,-0.40%,65.60%,"$614,964.00 ","140,583,334",1 Billion,"$6,454,593.00 "
1205,Hanu Yokia,HANU, $-   ,0.20%,1.50%,5.60%,66.10%,"$2,746.00 ","30,080,864,333,222",593 Trillion,"$6,450,357.00 "
1206,Kunci Coin,KUNCI,0.01,-0.40%,-2.50%,0.30%,2.90%,"$30,892.00 ","1,232,584,319",4 Billion,"$6,444,413.00 "
1207,Banano,BAN, $-   ,0.40%,-2.40%,-5.40%,7.40%,"$12,154.00 ","1,538,099,678",1.92 Billion,"$6,421,967.00 "
1208,Starcoin,STC,0.02,-8.90%,-8.40%,169.40%,192.10%,"$185,662.00 ","325,181,117",325 Million,"$6,411,868.00 "
1209,Neutrino Index Token,XTN,0.08,1.10%,0.40%,-6.20%,-8.50%,"$27,908.00 ","79,847,576",79.8 Million,"$6,406,813.00 "
1210,BHNetwork,BHAT,0.02,-0.70%,-12.00%,8.10%,315.10%,"$263,888.00 ","301,427,040",500 Million,"$6,387,517.00 "
1211,MixMarvel,MIX, $-   ,-0.30%,-6.50%,-10.40%,16.30%,"$261,006.00 ","5,143,070,000",10 Billion,"$6,362,275.00 "
1212,Rebel Bots,RBLS,0.02,-1.20%,4.30%,-15.60%,-65.20%,"$80,214.00 ","261,383,090",261 Million,"$6,319,969.00 "
1213,Pandacoin,PND, $-   ,-0.10%,3.50%,5.90%,80.00%,$39.90 ,"35,119,737,605",32 Billion,"$6,314,420.00 "
1214,CropBytes,CBX,0.02,0.20%,7.10%,-2.50%,22.50%,"$1,680,148.00 ","286,294,140",500 Million,"$6,300,239.00 "
1215,Lucro,LCR, $-   ,-0.50%,-7.80%,-4.90%,-11.70%,"$90,631.00 ","99,956,623,224",100 Billion,"$6,294,357.00 "
1216,Passage,PASG,0.01,-3.30%,-6.70%,-3.50%,33.60%,"$16,265.00 ","448,513,552",1.22 Billion,"$6,279,039.00 "
1217,Anchor Protocol,ANC,0.02,17.60%,57.40%,63.50%,115.50%,"$710,727.00 ","350,389,360",1 Billion,"$6,274,757.00 "
1218,Pika Protocol,PIKA,0.33,0.30%,1.70%,0.90%,124.90%,"$31,715.00 ","19,000,000",100 Million,"$6,261,626.00 "
1219,Blockasset,BLOCK,0.03,0.20%,-1.20%,5.80%,46.50%,"$51,270.00 ","184,096,265",320 Million,"$6,237,961.00 "
1220,Jones DAO,JONES,1.36,0.00%,0.80%,-15.10%,-5.30%,"$117,456.00 ","4,583,074",10 Million,"$6,220,346.00 "
1221,Skeb,SKEB, $-   ,0.00%,0.40%,-4.40%,-13.40%,"$84,879.00 ","4,183,675,000",9.98 Billion,"$6,209,668.00 "
1222,Omax,OMAX, $-   ,0.00%,0.20%,-2.70%,67.60%,"$1,267,419.00 ","9,000,000,000",9 Billion,"$6,202,516.00 "
1223,SpankChain,SPANK,0.01,-,-,-,-, - ,"861,043,315",1 Billion,"$6,014,369.00 "
1224,BLOCX.,BLOCX,0.13,2.20%,1.40%,50.60%,155.00%,"$129,024.00 ","46,190,860",46.2 Million,"$6,160,506.00 "
1225,Connex,CONX,5.46,0.40%,14.10%,51.50%,122.40%,"$564,958.00 ","1,124,600",100 Million,"$6,150,016.00 "
1226,Receive Access Ecosystem,RAE,1.00,-9.60%,23.90%,21.80%,12.60%,"$41,998.00 ","6,131,622",6.13 Million,"$6,135,664.00 "
1227,Geodnet,GEOD,0.07,0.10%,4.80%,23.90%,43.60%,"$6,407.00 ","89,216,476",997 Million,"$6,126,508.00 "
1228,The Doge NFT,DOG, $-   ,-4.60%,-3.30%,-1.50%,29.90%,"$43,689.00 ","8,665,263,478",17 Billion,"$6,124,910.00 "
1229,ScPrime,SCP,0.11,8.00%,-0.60%,-1.40%,-1.10%,$215.00 ,"54,780,157",55 Million,"$6,123,201.00 "
1230,BEAM,BEAM,0.04,-3.10%,-14.80%,25.40%,49.30%,"$655,417.00 ","148,152,520",263 Million,"$6,082,473.00 "
1231,Minted,MTD,0.03,-0.60%,-1.90%,-2.60%,30.60%,"$36,218.00 ","184,341,835",884 Million,"$6,063,966.00 "
1232,Panther Protocol,ZKP,0.02,-2.50%,-3.90%,-10.90%,7.80%,"$137,651.00 ","319,539,972",320 Million,"$6,062,196.00 "
1233,DeepBrain Chain,DBC, $-   ,-0.30%,-2.90%,-1.60%,-5.00%,"$270,002.00 ","3,200,000,000",10 Billion,"$6,048,323.00 "
1234,BTU Protocol,BTU,0.08,0.30%,-1.30%,-64.20%,-59.10%,$365.00 ,"80,000,000",100 Million,"$6,040,513.00 "
1235,Prisma Governance Token,PRISMA,0.84,-1.70%,-8.10%,5.60%,,"$2,329,430.00 ","7,198,289",300 Million,"$6,030,894.00 "
1236,Yield Yak,YAK,600.80,0.50%,-9.90%,7.70%,120.90%,"$8,051.00 ","10,000",10 Thousand,"$6,008,090.00 "
1237,Brillion,DUA,0.05,0.00%,-2.40%,-5.10%,24.50%,"$122,848.00 ","132,900,132",1 Billion,"$6,004,939.00 "
1238,Origin DeFi Governance,OGV,0.01,-0.10%,-2.80%,-9.10%,100.60%,"$839,117.00 ","680,882,297",4.41 Billion,"$5,995,368.00 "
1239,Aave [OLD],LEND,0.17,,-6.40%,5.70%,-78.80%,$5.85 ,"35,947,025",1.3 Billion,"$5,953,123.00 "
1240,sudoswap,SUDO,0.24,2.70%,-0.10%,-6.80%,34.60%,"$598,630.00 ","25,163,919",58.1 Million,"$5,976,283.00 "
1241,DEAPCOIN,DEP, $-   ,0.10%,4.30%,7.10%,75.50%,"$1,311,466.00 ","4,836,107,347",30 Billion,"$5,976,931.00 "
1242,BitKan,KAN, $-   ,0.30%,-0.90%,-3.40%,41.40%,"$258,464.00 ","5,452,621,227",10 Billion,"$5,918,433.00 "
1243,Permission Coin,ASK, $-   ,-0.10%,-1.10%,-3.60%,10.90%,"$10,280.00 ","20,630,311,762",100 Billion,"$5,907,204.00 "
1244,SuperWalk,GRND,0.13,-0.40%,-2.40%,-4.90%,-8.90%,"$73,437.00 ","44,317,594",999 Million,"$5,907,399.00 "
1245,DappRadar,RADAR,0.01,-3.40%,-1.40%,-2.80%,10.30%,"$378,526.00 ","1,013,142,907",10 Billion,"$5,887,155.00 "
1246,Wrapped Ampleforth,WAMPL,6.96,-0.10%,-1.10%,10.90%,115.00%,"$65,694.00 ","845,333",845 Thousand,"$5,872,102.00 "
1247,Evadore,EVA,0.03,0.00%,0.50%,-9.20%,-67.90%,"$1,022,544.00 ","181,606,768",1 Billion,"$5,831,869.00 "
1248,SEDA Protocol,FLX,0.02,0.00%,0.00%,-2.80%,25.50%,"$2,737.00 ","268,528,277",1 Billion,"$5,813,516.00 "
1249,IPOR,IPOR,0.60,0.30%,1.20%,-14.60%,5.80%,"$6,774.00 ","9,732,356",100 Million,"$5,812,825.00 "
1250,Renewable Energy,RET, $-   ,-1.20%,0.20%,-10.60%,27.20%,"$1,332,434.00 ","19,090,482,377,490,100",26.8 Quadrillion,"$5,799,851.00 "
1251,Blockchain Bets,BCB,0.01,2.60%,1.90%,-7.30%,3.90%,"$56,672.00 ","877,672,966",878 Million,"$5,798,191.00 "
1252,Mimo Governance,MIMO,0.01,0.90%,0.50%,-0.80%,-4.10%,"$12,430.00 ","515,636,482",802 Million,"$5,792,457.00 "
1253,Obyte,GBYTE,6.76,-9.20%,40.10%,-33.80%,-40.70%,"$6,302.00 ","855,963",1 Million,"$5,789,891.00 "
1254,BendDAO,BEND,0.01,1.60%,-2.70%,3.70%,113.60%,"$518,467.00 ","1,104,682,279",10 Billion,"$5,786,482.00 "
1255,Etherempires,ETE,0.01,0.00%,0.10%,-0.40%,8.70%,"$48,556.00 ","500,000,000",500 Million,"$5,699,196.00 "
1256,RealFevr,FEVR, $-   ,-0.30%,-7.00%,-14.40%,-5.00%,"$379,544.00 ","13,429,255,388",16 Billion,"$5,691,413.00 "
1257,$REKT,REKT,5.64,0.20%,-4.00%,-2.10%,-36.90%,"$145,895.00 ","1,000,000",1 Million,"$5,638,176.00 "
1258,Kitty Inu,KITTY, $-   ,-0.80%,5.80%,-14.70%,-8.00%,"$12,171.00 ","731,738,978,480",732 Billion,"$5,634,441.00 "
1259,Robo Inu Finance,RBIF, $-   ,-0.10%,2.20%,-0.40%,-24.50%,$978.00 ,"57,891,529,722,061,200",100 Quadrillion,"$5,632,139.00 "
1260,Cellframe,CELL,0.20,-0.30%,-6.50%,-8.40%,7.90%,"$132,951.00 ","28,785,000",29.7 Million,"$5,617,513.00 "
1261,LORDS,LORDS,0.11,0.00%,7.10%,-10.10%,24.30%,"$43,806.00 ","50,900,000",50.9 Million,"$5,612,223.00 "
1262,Picasso,PICA, $-   ,1.60%,-4.60%,-14.30%,272.70%,"$80,713.00 ","3,659,029,360",10 Billion,"$5,574,879.00 "
1263,Bytecoin,BCN, $-   ,-,-,-,-, - ,"184,020,000,000",184 Billion,"$5,715,005.00 "
1264,Handy,HANDY, $-   ,-1.30%,-8.10%,86.30%,159.30%,"$6,591.00 ","4,605,972,125",10 Billion,"$5,540,852.00 "
1265,PLEARN,PLN,0.05,0.60%,-6.90%,-24.10%,209.20%,"$20,235.00 ","110,780,615",111 Million,"$5,529,333.00 "
1266,Mysterium,MYST,0.17,0.20%,1.90%,5.30%,-17.40%,"$88,570.00 ","32,433,365",32.4 Million,"$5,522,753.00 "
1267,Polaris Share,POLA,0.01,-0.60%,-1.90%,-0.50%,2.70%,"$605,771.00 ","398,780,733",4.6 Billion,"$5,516,511.00 "
1268,S.C. Corinthians Fan Token,SCCP,0.51,-0.80%,-4.40%,-4.80%,12.80%,"$49,839.00 ","10,737,871",20 Million,"$5,512,500.00 "
1269,GenomesDAO,$GENE,0.02,-0.90%,38.00%,42.10%,273.00%,"$810,554.00 ","270,847,054",1 Billion,"$5,509,765.00 "
1270,Ridotto,RDT,0.02,-0.40%,2.50%,-4.30%,64.30%,"$22,913.00 ","270,238,339",500 Million,"$5,500,167.00 "
1271,Market Making Pro,MMPRO,0.06,-0.20%,-3.80%,1.80%,-3.50%,"$88,219.00 ","92,080,755",100 Million,"$5,497,621.00 "
1272,Notional Finance,NOTE,0.13,-0.20%,-1.00%,-8.80%,13.80%,"$15,177.00 ","42,394,457",100 Million,"$5,436,486.00 "
1273,Betswap.gg,BSGG, $-   ,-0.10%,-0.70%,4.90%,15.30%,"$91,846.00 ","2,498,830,236",10 Billion,"$5,429,117.00 "
1274,GoChain,GO, $-   ,0.30%,-2.80%,-8.10%,0.40%,"$69,138.00 ","1,243,776,246",∞,"$5,420,651.00 "
1275,Mancium,MANC,0.53,0.10%,-0.90%,-1.00%,2.00%,"$96,321.00 ","10,000,000",100 Million,"$5,399,167.00 "
1276,azit,AZIT,0.05,-3.20%,-12.00%,10.60%,13.40%,"$1,083,123.00 ","108,859,855",500 Million,"$5,375,953.00 "
1277,Shade Protocol,SHD,2.90,0.10%,-7.70%,-21.60%,47.20%,"$5,047,227.00 ","1,853,592",10 Million,"$5,372,959.00 "
1278,Crowny,CRWNY,0.01,-1.90%,1.30%,14.10%,174.00%,"$236,962.00 ","700,597,988",813 Million,"$5,349,973.00 "
1279,Bifrost Native Coin,BNC,0.26,0.20%,-1.00%,-6.00%,14.00%,"$228,842.00 ","20,382,189",80 Million,"$5,327,945.00 "
1280,LikeCoin,LIKE, $-   ,-0.40%,-4.60%,35.10%,220.80%,"$2,547.00 ","1,353,421,283",2 Billion,"$5,318,226.00 "
1281,Aerodrome Finance,AERO,0.03,-0.90%,1.20%,18.20%,42.80%,"$398,638.00 ","159,975,820",652 Million,"$5,302,483.00 "
1282,Kryptomon,KMON,0.01,-0.40%,-3.40%,-6.60%,-13.30%,"$183,903.00 ","845,489,745",1 Billion,"$5,284,897.00 "
1283,TRVL,TRVL,0.02,0.10%,-7.20%,-2.50%,13.00%,"$151,064.00 ","215,829,242",1 Billion,"$5,270,748.00 "
1284,Arix,ARIX,0.53,-0.30%,-1.00%,-11.60%,10.90%,"$639,961.00 ","9,916,490",103 Million,"$5,253,526.00 "
1285,Napoli Fan Token,NAP,2.47,0.10%,-1.60%,-1.70%,-3.00%,"$160,965.00 ","2,129,128",10 Million,"$5,250,547.00 "
1286,Grin,GRIN,0.03,0.10%,-2.40%,-2.20%,28.20%,"$1,153,173.00 ","152,594,880",∞,"$5,238,810.00 "
1287,Sakai Vault,SAKAI,1.84,0.10%,-1.70%,-1.00%,57.30%,"$4,457,215.00 ","2,835,092",8 Million,"$5,214,849.00 "
1288,GoGoPool,GGP,2.73,-0.10%,-1.70%,-14.90%,79.90%,"$45,960.00 ","1,900,073",∞,"$5,181,456.00 "
1289,Rai Reflex Index,RAI,2.77,0.10%,-0.10%,1.30%,1.20%,"$162,907.00 ","1,859,956",1.86 Million,"$5,151,732.00 "
1290,Bumper,BUMP,0.05,0.00%,0.40%,5.40%,72.60%,"$35,648.00 ","98,538,916",250 Million,"$5,152,331.00 "
1291,Wombat,WOMBAT, $-   ,0.00%,-4.30%,-5.90%,0.10%,"$155,868.00 ","3,204,653,545",10 Billion,"$5,140,416.00 "
1292,Edge,EDGE,0.11,-0.10%,1.70%,40.40%,89.40%,$70.30 ,"45,327,970",59.7 Million,"$5,122,403.00 "
1293,Ommniverse,OMMI,2.06,0.10%,0.20%,1.30%,-9.10%,"$877,596.00 ","2,486,102",5.9 Million,"$5,118,170.00 "
1294,AMATERASU OMIKAMI,OMIKAMI,0.01,0.00%,6.80%,-26.90%,-26.60%,"$7,748.00 ","999,592,217",1 Billion,"$5,101,385.00 "
1295,Skey Network,SKEY,0.02,-0.10%,5.10%,-22.90%,-27.90%,"$268,056.00 ","284,435,537",1 Billion,"$5,094,054.00 "
1296,BLOCKv,VEE, $-   ,0.40%,-14.30%,-22.60%,-27.50%,"$3,006.00 ","3,301,394,753",3.65 Billion,"$5,092,644.00 "
1297,Augur,REP,0.64,0.00%,-1.20%,-15.10%,32.30%,"$709,918.00 ","7,995,781",8 Million,"$5,086,805.00 "
1298,Only1,LIKE,0.02,0.70%,-12.30%,87.80%,455.80%,"$1,400,222.00 ","273,286,650",500 Million,"$5,078,722.00 "
1299,Prizm,PZM, $-   ,0.50%,1.90%,-0.30%,11.90%,"$129,417.00 ","3,619,167,511",6 Billion,"$5,065,996.00 "
1300,Aston Villa Fan Token,AVL,0.92,-1.10%,-2.10%,0.50%,15.50%,"$105,452.00 ","5,470,537",10 Million,"$5,063,559.00 "
1301,CVI,GOVI,0.33,-0.10%,6.20%,62.80%,147.70%,"$139,169.00 ","15,439,655",32 Million,"$5,062,366.00 "
1302,cLINK,CLINK,0.29,-0.70%,2.80%,-4.60%,42.00%, $-   ,"17,536,440",17.5 Million,"$5,050,177.00 "
1303,IguVerse IGU,IGU,0.04,-0.70%,-0.50%,6.20%,14.40%,"$891,912.00 ","138,794,049",400 Million,"$5,045,017.00 "
1304,tGOLD,TXAU,53.82,0.00%,-0.10%,-0.20%,1.50%,"$4,709.00 ","93,399",93.4 Thousand,"$5,027,166.00 "
1305,INSC,INSC,0.24,-,-,-,-, - ,"21,000,000",21 Million,"$5,001,546.00 "
1306,Kasta,KASTA,0.01,-0.40%,7.40%,-2.90%,7.50%,"$308,323.00 ","350,038,825",1.5 Billion,"$4,997,419.00 "
1307,Ēnosys,HLN,0.17,14.10%,8.90%,-25.20%,-73.90%,"$129,253.00 ","32,482,943",150 Million,"$4,995,206.00 "
1308,Oxen,OXEN,0.08,0.30%,-5.40%,-6.80%,32.50%,"$17,442.00 ","65,603,896",∞,"$4,991,045.00 "
1309,GemHUB,GHUB,0.05,-1.20%,-0.80%,-23.60%,-30.10%,"$370,962.00 ","92,825,000",1.2 Billion,"$4,964,656.00 "
1310,Wicrypt,WNT,0.15,5.40%,14.80%,-15.80%,559.20%,"$227,138.00 ","32,673,022",200 Million,"$4,959,009.00 "
1311,Everton Fan Token,EFC,0.95,-0.60%,-3.30%,-3.90%,36.70%,"$198,987.00 ","5,233,862",10 Million,"$4,959,346.00 "
1312,r/FortNiteBR Bricks,BRICK,0.08,1.70%,-5.40%,-27.00%,64.70%,"$74,186.00 ","65,269,283",65.3 Million,"$4,945,377.00 "
1313,OATH,OATH,0.04,0.10%,-0.60%,-2.90%,13.40%,"$16,594.00 ","126,838,428",137 Million,"$4,929,154.00 "
1314,IMPT,IMPT, $-   ,0.20%,0.90%,-6.80%,-10.10%,"$381,627.00 ","1,288,092,692",2.76 Billion,"$4,915,560.00 "
1315,DSLA Protocol,DSLA, $-   ,-1.80%,-4.50%,-11.00%,-4.80%,"$175,888.00 ","5,566,263,562",5.7 Billion,"$4,911,585.00 "
1316,Shiryo,SHIRYO-INU, $-   ,-1.80%,12.20%,53.60%,28.20%,"$43,744.00 ","964,970,637,440,352,000",980 Quadrillion,"$4,905,208.00 "
1317,MultiVAC,MTV, $-   ,4.70%,3.50%,15.30%,12.80%,"$495,586.00 ","3,459,778,400",10 Billion,"$4,902,730.00 "
1318,OccamFi,OCC,0.19,-3.30%,12.50%,13.40%,34.90%,"$155,064.00 ","25,373,717",99.5 Million,"$4,891,719.00 "
1319,CitaDAO,KNIGHT, $-   ,-,-,-,-, - ,"1,195,774,612",10 Billion,"$4,813,272.00 "
1320,Era Swap,ES, $-   ,0.10%,-1.60%,1.10%,-62.60%,"$11,619.00 ","2,218,005,143",3.86 Billion,"$4,869,465.00 "
1321,MMFinance (Cronos),MMF,0.01,-0.90%,2.90%,-4.60%,72.20%,"$272,633.00 ","761,386,650",491 Million,"$4,854,735.00 "
1322,DerivaDAO,DDX,0.09,-0.10%,-0.50%,-14.60%,-2.80%,$193.00 ,"53,228,696",53.2 Million,"$4,846,532.00 "
1323,Gold Fever Native Gold,NGL,0.12,0.70%,-2.60%,20.50%,268.90%,"$213,702.00 ","40,994,078",170 Million,"$4,843,835.00 "
1324,WHALE,WHALE,0.53,0.60%,-0.60%,-2.10%,12.00%,"$454,219.00 ","9,146,791",10 Million,"$4,809,012.00 "
1325,Particl,PART,0.35,-0.40%,16.40%,26.60%,18.00%,"$98,519.00 ","13,576,386",-,"$4,801,223.00 "
1326,Ispolink,ISP, $-   ,0.10%,8.80%,38.80%,291.70%,"$1,686,472.00 ","3,008,152,161",10 Billion,"$4,797,564.00 "
1327,Stader NearX,NEARX,2.07,9.30%,-6.50%,165.60%,69.40%,"$1,920.00 ","2,311,589",2.31 Million,"$4,787,831.00 "
